Title,Price,Mileage,Location,Description,PublishedDate,Link,ImageURL,Brand,Model,Condition,Transmission,FuelType,EngineCapacity,Year
Nissan Pulsar 1993,2000000.0,"375,000 km",Colombo,"Colombo, Cars",9 days,https://ikman.lk/en/ad/nissan-pulsar-1993-for-sale-colombo,https://i.ikman-st.com/nissan-pulsar-1993-for-sale-colombo/bb0ac9e1-f5af-4779-a1ca-6a0b415ff983/142/107/cropped.jpg,,,,,,,1993.0
BMW 520i e39 1996,5600000.0,"60,000 km",Kandy,"Kandy, Cars",9 days,https://ikman.lk/en/ad/bmw-520i-e39-1996-for-sale-kandy,https://i.ikman-st.com/bmw-520i-e39-1996-for-sale-kandy/ac4ab7b5-791a-46af-816d-f0bc4eda13d3/142/107/cropped.jpg,,,,,,,1996.0
Nissan X-Trail Gear Box Repair,120000.0,,Ratnapura,"Ratnapura, Maintenance and Repair",22 days,https://ikman.lk/en/ad/nissan-x-trail-gear-box-repair-for-sale-ratnapura-1,https://i.ikman-st.com/nissan-x-trail-gear-box-repair-for-sale-ratnapura-1/997b6880-0449-4382-a493-304b331f8435/142/107/cropped.jpg,,,,,,,
Honda Grace (GM4) Lower Arm,15000.0,,Colombo,"Colombo, Auto Parts & Accessories",just now,https://ikman.lk/en/ad/honda-grace-gm4-lower-arm-for-sale-colombo,https://i.ikman-st.com/honda-grace-gm4-lower-arm-for-sale-colombo/6e8d0a1a-e725-407c-b256-c03b58eb2e3b/142/107/cropped.jpg,,,,,,,
TVS Ntorq 2026,55700.0,0 km,Colombo,"Colombo, Motorbikes",7 days,https://ikman.lk/en/ad/tvs-ntorq-2026-for-sale-colombo-242,https://i.ikman-st.com/tvs-ntorq-2026-for-sale-colombo-242/eb44590d-7d22-44f0-be4a-e0658d046920/142/107/cropped.jpg,,,,,,,2026.0
Kia Carens 2025,20000000.0,"6,440 km",Colombo,"Colombo, Cars",1 day,https://ikman.lk/en/ad/kia-carens-2025-for-sale-colombo-1,https://i.ikman-st.com/kia-carens-2025-for-sale-colombo-1/bb4b8e89-b417-477e-96bc-1434e6b4396c/142/107/cropped.jpg,,,,,,,2025.0
Rent Toyota Allion with rental insurance,6000.0,,Kalutara,"Kalutara, Rentals",37 days,https://ikman.lk/en/ad/rent-toyota-allion-with-rental-insurance-for-sale-kalutara,https://i.ikman-st.com/rent-toyota-allion-with-rental-insurance-for-sale-kalutara/b034f6f9-da1a-4c1e-8ff9-444d91f65aa1/142/107/cropped.jpg,,,,,,,
BMW X5 M SPORT Driver Side Complete Mirrors - All Specs,225000.0,,Colombo,"Colombo, Auto Parts & Accessories",44 days,https://ikman.lk/en/ad/bmw-x5-m-sport-driver-side-complete-mirrors-all-specs-for-sale-colombo,https://i.ikman-st.com/bmw-x5-m-sport-driver-side-complete-mirrors-all-specs-for-sale-colombo/d7873761-94c4-4618-ad95-c7053d61e407/142/107/cropped.jpg,,,,,,,
House Movers Lorry with Labours - Any Size/ Time,88.0,,Gampaha,"Gampaha, Auto Services",2 minutes,https://ikman.lk/en/ad/house-movers-lorry-with-labours-any-size-time-for-sale-gampaha-35,https://i.ikman-st.com/house-movers-lorry-with-labours-any-size-time-for-sale-gampaha-35/28050b6c-7bdd-4998-b835-7fed9eb84f9f/142/107/cropped.jpg,,,,,,,
TVS King 2010,870000.0,,Jaffna,"Jaffna, Three Wheelers",2 minutes,https://ikman.lk/en/ad/tvs-king-2010-for-sale-jaffna,https://i.ikman-st.com/tvs-king-2010-for-sale-jaffna/f4824df8-9b6b-4aa9-a1bb-b63fab570d4a/142/107/cropped.jpg,,,,,,,2010.0
TVS Apache RTR 200 Race Edition 2019,790000.0,"62,000 km",Colombo,"Colombo, Motorbikes",2 minutes,https://ikman.lk/en/ad/tvs-apache-rtr-200-race-edition-2019-for-sale-colombo-10,https://i.ikman-st.com/tvs-apache-rtr-200-race-edition-2019-for-sale-colombo-10/40d0ebcc-6f3d-4275-9810-2c621c7d83a7/142/107/cropped.jpg,,,,,,,2019.0
Toyota Land Cruiser Sahara 2025 LC300 Petrol,92500000.0,10 km,Colombo,"Colombo, Cars",3 minutes,https://ikman.lk/en/ad/toyota-land-cruiser-sahara-2025-lc300-petrol-for-sale-colombo-1,https://i.ikman-st.com/toyota-land-cruiser-sahara-2025-lc300-petrol-for-sale-colombo-1/ad0326c8-d610-4296-b0fb-dba83531f028/142/107/cropped.jpg,,,,,,,2025.0
House Movers - Lorry for Hire with Labours,88.0,,Colombo,"Colombo, Auto Services",3 minutes,https://ikman.lk/en/ad/house-movers-lorry-for-hire-with-labours-for-sale-colombo-280,https://i.ikman-st.com/house-movers-lorry-for-hire-with-labours-for-sale-colombo-280/0ba75063-6397-49cf-9efb-e18e718152d3/142/107/cropped.jpg,,,,,,,
Toyota Land Cruiser Prado LC250 First Edition 2024,58950000.0,"4,000 km",Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-land-cruiser-prado-lc250-first-edition-2024-for-sale-colombo-39,https://i.ikman-st.com/toyota-land-cruiser-prado-lc250-first-edition-2024-for-sale-colombo-39/f1ea1c68-eebf-4bb7-84de-f1e3e939e432/142/107/cropped.jpg,,,,,,,2024.0
Suzuki Wagon R FX 2024,7550000.0,"10,000 km",Gampaha,"Gampaha, Cars",8 minutes,https://ikman.lk/en/ad/suzuki-wagon-r-fx-2024-for-sale-gampaha-109,https://i.ikman-st.com/suzuki-wagon-r-fx-2024-for-sale-gampaha-109/8df621df-6335-4e50-9c42-9c685a2f2491/142/107/cropped.jpg,,,,,,,2024.0
Suzuki Wagon R ZX Custom 2025,8700000.0,0 km,Gampaha,"Gampaha, Cars",10 minutes,https://ikman.lk/en/ad/suzuki-wagon-r-zx-custom-2025-for-sale-gampaha-25,https://i.ikman-st.com/suzuki-wagon-r-zx-custom-2025-for-sale-gampaha-25/e923a87e-bb4d-4278-9a14-f4db3cdf7352/142/107/cropped.jpg,,,,,,,2025.0
TVS Stryker 2018,400000.0,"70,000 km",Gampaha,"Gampaha, Motorbikes",13 minutes,https://ikman.lk/en/ad/tvs-stryker-2018-for-sale-gampaha-3,https://i.ikman-st.com/tvs-stryker-2018-for-sale-gampaha-3/86e522f8-1aab-4079-be08-647c98656cf0/142/107/cropped.jpg,,,,,,,2018.0
Bajaj Pulsar 135 2010,235000.0,"121,950 km",Gampaha,"Gampaha, Motorbikes",15 minutes,https://ikman.lk/en/ad/bajaj-pulsar-135-2010-for-sale-gampaha-577,https://i.ikman-st.com/bajaj-pulsar-135-2010-for-sale-gampaha-577/347033a9-bd90-4cc6-92f9-2f9382900ca2/142/107/cropped.jpg,,,,,,,2010.0
Toyota Roomy G Safety 2023,9200000.0,"12,000 km",Colombo,"Colombo, Cars",bump_up,https://ikman.lk/en/ad/toyota-roomy-g-safety-2023-for-sale-colombo-7,https://i.ikman-st.com/toyota-roomy-g-safety-2023-for-sale-colombo-7/6e4a281d-62f9-413f-94e2-6e1683c5a3d8/142/107/cropped.jpg,,,,,,,2023.0
TVS Raider 125 2026,157500.0,0 km,Colombo,"Colombo, Motorbikes",8 days,https://ikman.lk/en/ad/tvs-raider-125-2026-for-sale-colombo-383,https://i.ikman-st.com/tvs-raider-125-2026-for-sale-colombo-383/46bd9c91-d3a9-410b-8f7a-a2c7afde1910/142/107/cropped.jpg,,,,,,,2026.0
